Process ID: 0, Name: [System Process]
Process ID: 4, Name: System
Process ID: 176, Name: Registry
Process ID: 672, Name: smss.exe
Process ID: 416, Name: csrss.exe
Process ID: 1052, Name: wininit.exe
Process ID: 1272, Name: services.exe
Process ID: 1280, Name: lsass.exe
Process ID: 1428, Name: svchost.exe
Process ID: 1460, Name: fontdrvhost.exe
Process ID: 1572, Name: svchost.exe
Process ID: 1624, Name: svchost.exe
Process ID: 1904, Name: svchost.exe
Process ID: 1912, Name: svchost.exe
Process ID: 1920, Name: svchost.exe
Process ID: 1928, Name: svchost.exe
Process ID: 1232, Name: svchost.exe
Process ID: 1220, Name: svchost.exe
Process ID: 1200, Name: svchost.exe
Process ID: 1244, Name: IntelCpHDCPSvc.exe
Process ID: 1204, Name: svchost.exe
Process ID: 2056, Name: svchost.exe
Process ID: 2092, Name: svchost.exe
Process ID: 2228, Name: svchost.exe
Process ID: 2240, Name: svchost.exe
Process ID: 2280, Name: svchost.exe
Process ID: 2440, Name: IntelCpHeciSvc.exe
Process ID: 2496, Name: svchost.exe
Process ID: 2700, Name: svchost.exe
Process ID: 2884, Name: svchost.exe
Process ID: 2928, Name: svchost.exe
Process ID: 2956, Name: NVDisplay.Container.exe
Process ID: 2264, Name: svchost.exe
Process ID: 3204, Name: svchost.exe
Process ID: 3224, Name: svchost.exe
Process ID: 3232, Name: svchost.exe
Process ID: 3248, Name: svchost.exe
Process ID: 3408, Name: Memory Compression
Process ID: 3460, Name: svchost.exe
Process ID: 3536, Name: svchost.exe
Process ID: 3544, Name: svchost.exe
Process ID: 3620, Name: svchost.exe
Process ID: 3640, Name: svchost.exe
Process ID: 3748, Name: svchost.exe
Process ID: 3756, Name: svchost.exe
Process ID: 3804, Name: svchost.exe
Process ID: 3960, Name: svchost.exe
Process ID: 3976, Name: svchost.exe
Process ID: 3988, Name: svchost.exe
Process ID: 3996, Name: svchost.exe
Process ID: 4300, Name: svchost.exe
Process ID: 4336, Name: svchost.exe
Process ID: 4380, Name: spoolsv.exe
Process ID: 4440, Name: svchost.exe
Process ID: 4508, Name: svchost.exe
Process ID: 4584, Name: svchost.exe
Process ID: 4592, Name: svchost.exe
Process ID: 4996, Name: svchost.exe
Process ID: 4160, Name: svchost.exe
Process ID: 4460, Name: svchost.exe
Process ID: 4648, Name: svchost.exe
Process ID: 4948, Name: LightKeeperService.exe
Process ID: 4952, Name: jhi_service.exe
Process ID: 5144, Name: warp-svc.exe
Process ID: 5160, Name: MSIService.exe
Process ID: 5172, Name: MpDefenderCoreService.exe
Process ID: 5192, Name: MSIAPService.exe
Process ID: 5204, Name: Sendevsvc.exe
Process ID: 5216, Name: LMS.exe
Process ID: 5224, Name: MSI_Central_Service.exe
Process ID: 5300, Name: MSI_Companion_Service.exe
Process ID: 5340, Name: MuseAuthService.exe
Process ID: 5356, Name: Mystic_Light_Service.exe
Process ID: 5364, Name: NahimicService.exe
Process ID: 5428, Name: svchost.exe
Process ID: 5476, Name: svchost.exe
Process ID: 5492, Name: RtkAudUService64.exe
Process ID: 5500, Name: svchost.exe
Process ID: 5524, Name: svchost.exe
Process ID: 5540, Name: RvControlSvc.exe
Process ID: 5552, Name: sqlwriter.exe
Process ID: 5608, Name: UltraViewer_Service.exe
Process ID: 5640, Name: vmware-authd.exe
Process ID: 5652, Name: vmnetdhcp.exe
Process ID: 5668, Name: vmware-usbarbitrator64.exe
Process ID: 5816, Name: vmnat.exe
Process ID: 5824, Name: svchost.exe
Process ID: 5832, Name: svchost.exe
Process ID: 5904, Name: MsMpEng.exe
Process ID: 5916, Name: WMIRegistrationService.exe
Process ID: 6196, Name: WmiPrvSE.exe
Process ID: 6204, Name: WmiPrvSE.exe
Process ID: 5276, Name: svchost.exe
Process ID: 6388, Name: svchost.exe
Process ID: 7452, Name: svchost.exe
Process ID: 8256, Name: WmiPrvSE.exe
Process ID: 8332, Name: svchost.exe
Process ID: 9092, Name: svchost.exe
Process ID: 9104, Name: svchost.exe
Process ID: 9672, Name: BraveCrashHandler.exe
Process ID: 9704, Name: BraveCrashHandler64.exe
Process ID: 9740, Name: svchost.exe
Process ID: 10016, Name: svchost.exe
Process ID: 9612, Name: wlanext.exe
Process ID: 9852, Name: AggregatorHost.exe
Process ID: 1404, Name: svchost.exe
Process ID: 10448, Name: svchost.exe
Process ID: 10512, Name: svchost.exe
Process ID: 9160, Name: NisSrv.exe
Process ID: 15356, Name: MSI.CentralServer.exe
Process ID: 6132, Name: conhost.exe
Process ID: 16332, Name: SecurityHealthService.exe
Process ID: 14952, Name: svchost.exe
Process ID: 12176, Name: svchost.exe
Process ID: 3712, Name: svchost.exe
Process ID: 15336, Name: svchost.exe
Process ID: 11144, Name: svchost.exe
Process ID: 11784, Name: svchost.exe
Process ID: 15436, Name: OfficeClickToRun.exe
Process ID: 12852, Name: SearchIndexer.exe
Process ID: 18444, Name: svchost.exe
Process ID: 12908, Name: svchost.exe
Process ID: 21172, Name: svchost.exe
Process ID: 4908, Name: svchost.exe
Process ID: 22440, Name: svchost.exe
Process ID: 4208, Name: svchost.exe
Process ID: 1160, Name: svchost.exe
Process ID: 23228, Name: svchost.exe
Process ID: 15276, Name: csrss.exe
Process ID: 3264, Name: winlogon.exe
Process ID: 18392, Name: fontdrvhost.exe
Process ID: 13496, Name: dwm.exe
Process ID: 3864, Name: NVDisplay.Container.exe
Process ID: 2988, Name: svchost.exe
Process ID: 4224, Name: svchost.exe
Process ID: 13936, Name: NahimicAPO4Volume.exe
Process ID: 8460, Name: sihost.exe
Process ID: 5988, Name: svchost.exe
Process ID: 21552, Name: svchost.exe
Process ID: 17412, Name: svchost.exe
Process ID: 3652, Name: svchost.exe
Process ID: 10992, Name: taskhostw.exe
Process ID: 12128, Name: MicrosoftEdgeUpdate.exe
Process ID: 10792, Name: explorer.exe
Process ID: 4144, Name: ShellHost.exe
Process ID: 20212, Name: OmApSvcBroker.exe
Process ID: 11384, Name: CrossDeviceResume.exe
Process ID: 7068, Name: svchost.exe
Process ID: 19032, Name: SearchHost.exe
Process ID: 19284, Name: StartMenuExperienceHost.exe
Process ID: 18872, Name: RuntimeBroker.exe
Process ID: 796, Name: svchost.exe
Process ID: 23436, Name: RuntimeBroker.exe
Process ID: 13588, Name: Widgets.exe
Process ID: 23500, Name: msedgewebview2.exe
Process ID: 13448, Name: msedgewebview2.exe
Process ID: 23192, Name: msedgewebview2.exe
Process ID: 12888, Name: msedgewebview2.exe
Process ID: 21492, Name: msedgewebview2.exe
Process ID: 7908, Name: msedgewebview2.exe
Process ID: 15320, Name: ctfmon.exe
Process ID: 2308, Name: PhoneExperienceHost.exe
Process ID: 18932, Name: TextInputHost.exe
Process ID: 22484, Name: SecurityHealthSystray.exe
Process ID: 21732, Name: RtkAudUService64.exe
Process ID: 17776, Name: UniKeyNT.exe
Process ID: 23396, Name: Zalo.exe
Process ID: 12956, Name: Zalo.exe
Process ID: 20304, Name: Zalo.exe
Process ID: 1892, Name: Zalo.exe
Process ID: 3420, Name: Zalo.exe
Process ID: 16620, Name: ZaloCap.exe
Process ID: 21520, Name: Zalo.exe
Process ID: 23108, Name: Zalo.exe
Process ID: 17020, Name: svchost.exe
Process ID: 16440, Name: svchost.exe
Process ID: 4108, Name: svchost.exe
Process ID: 4292, Name: NhNotifSys.exe
Process ID: 9064, Name: IGCCTray.exe
Process ID: 19340, Name: DCv2.exe
Process ID: 21332, Name: RuntimeBroker.exe
Process ID: 16216, Name: IGCC.exe
Process ID: 20268, Name: TranslucentTB.exe
Process ID: 16032, Name: RuntimeBroker.exe
Process ID: 15600, Name: TabletService.exe
Process ID: 19676, Name: WidgetService.exe
Process ID: 21352, Name: msedgewebview2.exe
Process ID: 2532, Name: msedgewebview2.exe
Process ID: 13624, Name: msedgewebview2.exe
Process ID: 16808, Name: msedgewebview2.exe
Process ID: 23464, Name: msedgewebview2.exe
Process ID: 21340, Name: msedgewebview2.exe
Process ID: 17848, Name: ZaloCall.exe
Process ID: 12900, Name: svchost.exe
Process ID: 8904, Name: brave.exe
Process ID: 15108, Name: brave.exe
Process ID: 16564, Name: brave.exe
Process ID: 7076, Name: brave.exe
Process ID: 12236, Name: brave.exe
Process ID: 19216, Name: brave.exe
Process ID: 13084, Name: brave.exe
Process ID: 1164, Name: brave.exe
Process ID: 11336, Name: brave.exe
Process ID: 13300, Name: brave.exe
Process ID: 15912, Name: brave.exe
Process ID: 17660, Name: msedgewebview2.exe
Process ID: 7100, Name: backgroundTaskHost.exe
Process ID: 15300, Name: RuntimeBroker.exe
Process ID: 22100, Name: Cloudflare WARP.exe
Process ID: 14668, Name: ApplicationFrameHost.exe
Process ID: 8908, Name: SystemSettings.exe
Process ID: 6168, Name: UserOOBEBroker.exe
Process ID: 7440, Name: server.exe
Process ID: 20324, Name: conhost.exe
Process ID: 18928, Name: OpenConsole.exe
Process ID: 20984, Name: WindowsTerminal.exe
Process ID: 11640, Name: svchost.exe
Process ID: 15392, Name: svchost.exe
Process ID: 2036, Name: Photos.exe
